,Title,Lyrics
24,Down In A Hole ,"Bury me softly in this womb 
I give this part of me for you 
Sand rains down and here I sit 
Holding rare flowers in a tomb, in bloom

Down in a hole and I don't know if I can be saved 
See my heart I decorate it like a grave 
You don't understand who they 
Thought I was supposed to be 
Look at me now a man 
Who won't let himself be 

Down in a hole, feeling so small
Down in a hole, loosing my soul
I'd like to fly, 
But my wings have been so denied 

Down in a hole and they've put all 
The stones in their place 
I've eaten the sun so my tongue 
Has been burned of the taste 
I have been guilty 
Of kicking myself in the teeth 
I will speak no more 
Of my feelings beneath 

Down in a hole, feeling so small 
Down in a hole, loosing my soul 
I'd like to fly 
But my wings have been so denied 

Bury me softly in this womb 
Oh I want to be inside of you 
I give this part of me for you 
Oh I want to be inside of you 
Sand rains down and here I sit 
Holding rare flowers (oh I want to be inside of you) 
In a tomb... in bloom 
Oh I want to be inside... 

Down in a hole, feeling so small
Down in a hole, loosing my soul
Down in a hole, feeling so small
Down in a hole, outta control
I'd like to fly 
But my wings have been so denied"
25,Drone ,"In my eyes you are beautiful
Not just right, perfect spiritual
I did what I had to do to get higher

Spent myself on another, entangled like lovers
Not quite dark, not quite light

Steppin' in and out of madness
Such a dedicated drone
And though you find me rather tragic
I'll stay here and feed my pet black hole

In the time I have spent with you
Unconfined, beyond physical
I did not regret my time on the wire

Spent myself on another, entangled like lovers
Not quite dark, not quite light

Steppin' in and out of madness
Such a busy bee, a drone
And though you find me rather tragic

I bear the cost, can't dull my anger
And that's fine
Built up inside, obscuring danger
It's alive

In my eyes you are beautiful
Not just right, perfect spiritual
I did what I had to do to get higher

Spent myself on another, entangled like lovers
Not quite dark, not quite light

Steppin' in and out of madness
Such a dedicated drone
And though you find me rather tragic
I'll stay here and feed my pet black hole

Pet black hole
Pet black hole
Pet black hole

So beautiful"
26,Fairytale Love Story ,"Jill, came tumbling down
At the bottom of the hill
Jack busted his crown
Ah, my fairytale love story
My fairy life
My fairytale love story
To get you off of my..
I got to thinking
Things aren't as good as they can be
I got to drinking
The bitch is over the brink
The bitch is over the brink
Tommy Prince, kissed a few there on the lips
She woke him with a cold sore, she ain't so pretty no more
Ah, my fairytale love story
My fairy life
My fairytale love story
To get you off of my..
I got to thinking
I'm not as sweet as them all
I got to drinking again
The bitch is over the brink
The bitch is over the brink
My fairytale love story
Ooo, My fairytale love story
Yeah, you're my fairytale love story
Ooo, my fairytale love story
The bitch is over the brink
The bitch is over the brink
Rapunzel let down your hair, I'll cut it off"
27,Fat Girls ,"""Harry! Take the garbage out!""
""Yes, poopsie.""

(Fat girls)
Ooo, can be so much fun
Their mouths are motors
(What a girl)
So let their motors run!

After they have eaten you
Out of house and home
Strip down to your birthday suit
And let them (halves?) explode!

Can't to back in their cake too much
With only goes out for an occasional where to put!
Can't to back in their cake too much
Ooo, they're never gonna stop!

(What a girl)
Fat girls
(Yum)
(What a girl) Woo
Fat girls can be so much fun!

When you're done and satisfied
You must throw them out
Never have to say, for sure
(Gross?) them out

Feeding my special ladies
Have but one thing to gain
They want to have your babies
They want you ball and chain

They clean to back and they clean too much
With only goes out for an occasional where to put! (?)
They clean to back and they clean too much
Ooo, they're never gonna stop!

(What a girl)
Fat girls
(Yum)
(What a girl) Woo
Fat girls, Oooouhhh

OoooOh!"
28,Fear The Voices ,"Awww put our heads together
Because a signature could change our future
Uh-huh
For some wrote you a letter, begging you to reconsider
Yeah

Yeah Yeah Yeah

Put our heads together
Ahhhhhh Ahhh Ahhhh
Fear the voices you hear today
If you still have choices, we'll blow you away

So they put number on your television Mr. Gardner
Oh yeah
A messed up generation put the pressure on you 
You're a coward, uh-huh

Yeah Yeah

A messed up generation
Ahhhhhh Ahhh Ahhhh
Fear the voices you hear today
If you still have choices, we'll blow you away

We can see right through you, we're awake
Send your men and we are all awake
Awake, awake, awake, awake
Wake, awake, awake, awake

Fear the voices you hear today
If you still have choices, we'll blow you away
Fear the voices, fear the voices, fear the voices, Fear the voices"
29,Fly ,"[Verse 1]
Led out on a leash behind you, holding ground
And I don't need no reminding, I've been around
Been around, yeah, I am a sound, yeah

[Verse 2]
Lie down with your peace where you find it
Won't come cheap
Fill up on love when you're hungry, tired then sleep
Have your dreams

[Chorus]
Don't let it wind you, let it bring you down
I hate to tell you how little I have found

[Refrain]
They paved the road with fool's gold

[Bridge]
And you're gonna fall out
You're gonna break down, choke and cry
Waiting out the storm when there ain't no place to hide
And you're gonna fall out
You're gonna break down, choke and cry
Waiting out the storm till the skies are clear to fly

[Instrumental]

[Bridge]
And you're gonna fall out
You're gonna break down, choke and cry
Waiting out the storm till the skies are clear to fly

[Verse 3]
Follow where it leads, your heart will know what's true
Don't be blinded by shiny pretty things well past due
It's on you, yeah, it's on you, yeah

[Chorus]
Don't let it wind you, let it bring you down
I hate to tell you how little I have found

[Bridge]
And you're gonna fall out
You're gonna break down, choke and cry
Waiting out the storm when there ain't no place to hide
And you're gonna fall out
You're gonna break down, choke and cry
Waiting out the storm till the skies are clear to fly

[Refrain]
They paved the road with fool's gold
They paved the road with fool's gold"
30,Frogs ,"What does friend mean to you?
 A word so wrongfully abused
 Are you like me, confused
 All included but you
 Alone...

 The sounds of silence often soothe
 Shapes and colors shift with mood
 Pupils widen and change their hue
 Rapid brown avoid clear blue

 Why's it have to be this way
 Be this way

 Flowers watched through wide brown eyes bloom
 A child sings an unclaimed tune
 Innocence spins cold cocoon
 Grow to see the pain too soon

 Why's it have to be this way
 Be this way

 ""At 7 am on a Tuesday, usual August ...
 Next week I'll be 28...
 I'm still young, it'll be me...
 Off the wall I scrape... you...
 I can't wake, I gotta wake...
 To cause this wake, I gotta wake no more...
 It causes wake, to drown this hate....
 To never really stay, never will.....
 You take your plate...
 Put me through hell, live, live...
 Direct your fate...
 You say I can do it so well...
 Your expiration date...
 Fate, date, expiration date...
 (this was the last time)
 Hate...
 And don't fuck with me again...
 My own clean slate...
 Don't fuck with me again...
 Makes your eyes dilate...
 Makes you shake...
 Irate..."""
31,Get Born Again ,"Sad suffering 
I knew him when 
Fair-weather friend of mine

Try not to think 
I merely blink 
Hope to wish away the lies... 

I... 

Can you protect 
Me when I'm wrecked 
I'll pretend you're still alive 

I...
Yeah...

I choose the day 
One damp and gray
Thick fog to hide our smiles...

Clear all your sins 
Get born again 
Just repeat a couple lies 

Lies... yeah 

Can you protect 
Me when I'm wrecked 
I'll pretend you're still alive 

I choose the day 
One deepen grave, 
Thick fog to hide our smiles...

(musical brake)

Sad suffering..... 
Get born again.... (X5 and fade)"
32,Glamorous Girls ,"Oooo Whoa Na Na Na Na Na Na

I want bring these girls backstage
And maybe to my house
I want to wear their glamorous decor
I've got to have that blouse

Glamorous girls, bodies so tight
I wanna take them home with me, but only for a night
Glamorous girls, I love what you wear
I just can't get enough of you
Ooo, I love your hair

Oh hey!

Oooo Whoa Na Na Na Na Na Na

So let me see those earrings
Twinkling on your arms
I want to have these things of yours
I want to put them on

Glamorous girls, bodies so tight
I wanna take them home with me, but only for a night
Glamorous girls, I love what you wear
I just can't get enough of you
Ooo, baby

Oooo Whoa Na Na Na Na Na Na

So baby, if you're lucky
Snap a shot of me
I'll be posing in all your clothes
For all your friends to see

Glamorous girls, bodies so tight
I wanna take them home with me, but only for a night
Glamorous girls, I love what you wear
I just can't get enough of you
Ooo, girls

Glamorous girls, bodies so tight
I wanna take them home with me, but only for a night
Glamorous girls, I love what you wear
I just can't get enough of you
Ooo..."
33,God Am ,"Sure god's all powerfull,
but does he have lips? Whoa...


dear god, how have you been, then?
i'm not fine, fuck pretending
all of this death you're sending
best throw some free heart mending

invite you in my heart, then
when done, my sinds forgiven?
this god of mine relaxes
world dies i still pay taxes

can i be as my god am
can you be as god am
can i be as my god am
god of all my god am

so lord, i see you grinnin'
must be grand always winning
how proud are you being able
to gather faith from fable

can i be as my god am
can you be as god am
can i be as my god am
god of all my god am
god am
my god am
god am
god

all this respect i'm giving
shared strength acquired by livin'
all bloomin' life youre feeding
can't hide sick ones you're weeding

can i be as my god am
can you be as god am
can i be as my god am
god of all my god am
god am
god am
god am"
